1641629248681385216,0.45265,0.01577,0.22400,-0.73307,0.18505,-0.01950,0.65420,
1641629248731385344,0.46158,0.01285,0.20560,-0.74286,0.19165,-0.02533,0.64092,
1641629248781386240,0.46985,0.00927,0.18745,-0.75233,0.19545,-0.02859,0.62848,
1641629248831386368,0.47751,0.00668,0.16996,-0.76005,0.19915,-0.02818,0.61795,
1641629248881385216,0.48473,0.00364,0.15554,-0.76585,0.20252,-0.03150,0.60947,
1641629248931385344,0.49161,0.00104,0.14528,-0.77174,0.20576,-0.03993,0.60040,
1641629248981385216,0.49798,-0.00169,0.14107,-0.77653,0.20828,-0.05226,0.59236,
1641629249031385088,0.50254,-0.00593,0.14388,-0.77477,0.20934,-0.06923,0.59255,
1641629249081385216,0.50491,-0.01099,0.15273,-0.76869,0.20728,-0.08633,0.59892,
1641629249131385344,0.50551,-0.01555,0.16577,-0.76144,0.20359,-0.10188,0.60694,
1641629249181385216,0.50553,-0.01841,0.18288,-0.75436,0.19746,-0.11508,0.61540,
1641629249231385344,0.50254,-0.02213,0.19930,-0.74673,0.18937,-0.12686,0.62485,
1641629249281385216,0.49615,-0.02229,0.21527,-0.73759,0.18168,-0.13837,0.63545,
1641629249331385088,0.48971,-0.02301,0.23142,-0.72888,0.17363,-0.14599,0.64597,
1641629249381385216,0.48195,-0.02302,0.24454,-0.72165,0.16576,-0.14779,0.65567,
1641629249431385344,0.47331,-0.02126,0.25236,-0.71859,0.15886,-0.14585,0.66115,
1641629249481385216,0.46354,-0.01745,0.25387,-0.71848,0.15041,-0.14558,0.66330,
1641629249531385088,0.45278,-0.01241,0.24902,-0.72253,0.13870,-0.14487,0.66161,
1641629249581385216,0.44175,-0.00661,0.23879,-0.72972,0.12705,-0.14076,0.65693,
1641629249631385344,0.43123,0.00010,0.22510,-0.73953,0.11950,-0.13069,0.64941,
1641629249681385216,0.42070,0.00745,0.20892,-0.75057,0.11439,-0.11758,0.64010,
1641629249731385344,0.40881,0.01447,0.19098,-0.76363,0.10734,-0.10111,0.62859,
1641629249781385216,0.39425,0.02000,0.17245,-0.77509,0.09533,-0.08114,0.61933,
1641629249831385088,0.37717,0.02431,0.15384,-0.78514,0.07974,-0.06310,0.61091,
1641629249881385216,0.35751,0.02714,0.13653,-0.79180,0.06323,-0.04438,0.60587,
1641629249931385344,0.33562,0.02803,0.12055,-0.79735,0.04281,-0.02406,0.60152,
1641629249981385216,0.31210,0.02711,0.10565,-0.80063,0.02005,-0.00207,0.59882,
1641629250031385088,0.28753,0.02496,0.09075,-0.80564,-0.00592,0.01625,0.59215,
1641629250081385216,0.26244,0.02115,0.07616,-0.81077,-0.03482,0.03469,0.58330,
1641629250131385344,0.23777,0.01579,0.06271,-0.81471,-0.06212,0.05575,0.57383,
1641629250181385216,0.21397,0.00917,0.05085,-0.81594,-0.08481,0.07789,0.56655,
1641629250231386112,0.19069,0.00196,0.04040,-0.81715,-0.10515,0.10082,0.55771,
1641629250281385216,0.16747,-0.00567,0.03108,-0.81738,-0.12309,0.12372,0.54903,
1641629250331385088,0.14397,-0.01447,0.02301,-0.81720,-0.14419,0.14617,0.53855,
1641629250381385216,0.12049,-0.02450,0.01649,-0.81653,-0.16787,0.16788,0.52622,
1641629250431385344,0.09742,-0.03588,0.01231,-0.81300,-0.19325,0.18854,0.51588,
1641629250481385216,0.07548,-0.04802,0.01092,-0.80685,-0.21793,0.20869,0.50789,
